DICOMMergeFieldID,MergeFieldID,DICOMSRTemplateID,Name,Description,IsActive,ValueXPath,UnitsXPath,FindingSite,Property,Modifier,HasOBContext,HasLateralityContext
36,200035,1, OVARIAN FOLLICLE LEFT 6 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN, OVARIAN FOLLICLE LEFT 6 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='6']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='6']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Ovarian Follicle,NULL,NULL,1,1
37,200036,1, OVARIAN FOLLICLE LEFT 6 VOLUME, OVARIAN FOLLICLE LEFT 6 VOLUME,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='6']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='6']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../unit,Ovarian Follicle,NULL,NULL,1,1
38,200037,1, OVARIAN FOLLICLE LEFT 7 FOLLICLE DIAMETER FOLLICLE DIAMETER, OVARIAN FOLLICLE LEFT 7 FOLLICLE DIAMETER FOLLICLE DIAMETER,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='7']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='7']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../unit,Ovarian Follicle,NULL,NULL,1,1
39,200038,1, OVARIAN FOLLICLE LEFT 7 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN, OVARIAN FOLLICLE LEFT 7 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='7']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='7']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Ovarian Follicle,NULL,NULL,1,1
40,200039,1, OVARIAN FOLLICLE LEFT 7 VOLUME, OVARIAN FOLLICLE LEFT 7 VOLUME,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='7']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='7']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../unit,Ovarian Follicle,NULL,NULL,1,1
41,200040,1, OVARIAN FOLLICLE LEFT 8 FOLLICLE DIAMETER FOLLICLE DIAMETER, OVARIAN FOLLICLE LEFT 8 FOLLICLE DIAMETER FOLLICLE DIAMETER,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='8']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='8']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../unit,Ovarian Follicle,NULL,NULL,1,1
42,200041,1, OVARIAN FOLLICLE LEFT 8 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN, OVARIAN FOLLICLE LEFT 8 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='8']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='8']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Ovarian Follicle,NULL,NULL,1,1
43,200042,1, OVARIAN FOLLICLE LEFT 8 VOLUME, OVARIAN FOLLICLE LEFT 8 VOLUME,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='8']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='8']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../unit,Ovarian Follicle,NULL,NULL,1,1
44,200043,1, OVARIAN FOLLICLE LEFT 9 FOLLICLE DIAMETER FOLLICLE DIAMETER, OVARIAN FOLLICLE LEFT 9 FOLLICLE DIAMETER FOLLICLE DIAMETER,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='9']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='9']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../unit,Ovarian Follicle,NULL,NULL,1,1
45,200044,1, OVARIAN FOLLICLE LEFT 9 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN, OVARIAN FOLLICLE LEFT 9 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='9']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='9']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Ovarian Follicle,NULL,NULL,1,1
46,200045,1, OVARIAN FOLLICLE LEFT 9 VOLUME, OVARIAN FOLLICLE LEFT 9 VOLUME,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='9']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='9']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../unit,Ovarian Follicle,NULL,NULL,1,1
47,200046,1, OVARIAN FOLLICLE LEFT 10 FOLLICLE DIAMETER FOLLICLE DIAMETER, OVARIAN FOLLICLE LEFT 10 FOLLICLE DIAMETER FOLLICLE DIAMETER,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='10']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='10']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../unit,Ovarian Follicle,NULL,NULL,1,1
48,200047,1, OVARIAN FOLLICLE LEFT 10 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN, OVARIAN FOLLICLE LEFT 10 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='10']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='10']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Ovarian Follicle,NULL,NULL,1,1
49,200048,1, OVARIAN FOLLICLE LEFT 10 VOLUME, OVARIAN FOLLICLE LEFT 10 VOLUME,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='10']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A101']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='10']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../unit,Ovarian Follicle,NULL,NULL,1,1
50,200049,1, OVARIAN FOLLICLE RIGHT 1 FOLLICLE DIAMETER FOLLICLE DIAMETER, OVARIAN FOLLICLE RIGHT 1 FOLLICLE DIAMETER FOLLICLE DIAMETER,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='1']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='1']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../unit,Ovarian Follicle,NULL,NULL,1,1
51,200050,1, OVARIAN FOLLICLE RIGHT 1 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN, OVARIAN FOLLICLE RIGHT 1 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='1']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='1']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Ovarian Follicle,NULL,NULL,1,1
52,200051,1, OVARIAN FOLLICLE RIGHT 1 VOLUME, OVARIAN FOLLICLE RIGHT 1 VOLUME,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='1']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='1']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../unit,Ovarian Follicle,NULL,NULL,1,1
53,200052,1, OVARIAN FOLLICLE RIGHT 2 FOLLICLE DIAMETER FOLLICLE DIAMETER, OVARIAN FOLLICLE RIGHT 2 FOLLICLE DIAMETER FOLLICLE DIAMETER,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='2']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='2']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../unit,Ovarian Follicle,NULL,NULL,1,1
54,200053,1, OVARIAN FOLLICLE RIGHT 2 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN, OVARIAN FOLLICLE RIGHT 2 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='2']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='2']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Ovarian Follicle,NULL,NULL,1,1
55,200054,1, OVARIAN FOLLICLE RIGHT 2 VOLUME, OVARIAN FOLLICLE RIGHT 2 VOLUME,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='2']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='2']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../unit,Ovarian Follicle,NULL,NULL,1,1
56,200055,1, OVARIAN FOLLICLE RIGHT 3 FOLLICLE DIAMETER FOLLICLE DIAMETER, OVARIAN FOLLICLE RIGHT 3 FOLLICLE DIAMETER FOLLICLE DIAMETER,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='3']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='3']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../unit,Ovarian Follicle,NULL,NULL,1,1
57,200056,1, OVARIAN FOLLICLE RIGHT 3 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN, OVARIAN FOLLICLE RIGHT 3 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='3']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='3']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Ovarian Follicle,NULL,NULL,1,1
58,200057,1, OVARIAN FOLLICLE RIGHT 3 VOLUME, OVARIAN FOLLICLE RIGHT 3 VOLUME,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='3']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='3']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../unit,Ovarian Follicle,NULL,NULL,1,1
59,200058,1, OVARIAN FOLLICLE RIGHT 4 FOLLICLE DIAMETER FOLLICLE DIAMETER, OVARIAN FOLLICLE RIGHT 4 FOLLICLE DIAMETER FOLLICLE DIAMETER,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='4']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='4']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../unit,Ovarian Follicle,NULL,NULL,1,1
60,200059,1, OVARIAN FOLLICLE RIGHT 4 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN, OVARIAN FOLLICLE RIGHT 4 FOLLICLE DIAMETER FOLLICLE DIAMETER MEAN MEAN VALUE CHOSEN,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='4']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='4']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../item/concept[@codValue='121404']/../value[@codValue='121412']/../../item/concept[@codValue='121401']/../value[@codValue='R-00317']/../../unit,Ovarian Follicle,NULL,NULL,1,1
61,200060,1, OVARIAN FOLLICLE RIGHT 4 VOLUME, OVARIAN FOLLICLE RIGHT 4 VOLUME,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='4']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='4']/concept[@codValue='12510']/../../item/concept[@codValue='G-D705']/../unit,Ovarian Follicle,NULL,NULL,1,1
62,200061,1, OVARIAN FOLLICLE RIGHT 5 FOLLICLE DIAMETER FOLLICLE DIAMETER, OVARIAN FOLLICLE RIGHT 5 FOLLICLE DIAMETER FOLLICLE DIAMETER,1,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='5']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../value,/report/document/content/item/concept[@codValue='125000']/../item/concept[@codValue='121070']/../item/concept[@codValue='G-C171']/../value[@codValue='G-A100']/../../item/concept[@codValue='G-C0E3']/../value[@codValue='T-87600']/../../item/concept[@codValue='125007']/../item[value='5']/concept[@codValue='12510']/../../item/concept[@codValue='11793-7']/../unit,Ovarian Follicle,NULL,NULL,1,1
